SN,Easting,Northing,Bed width,Bank slope,Bed elevation,Type
1,616556.013,3097760.448,6.532,,,Junction
2,616555.543,3097759.565,7.191,,,Junction
3,616555.073,3097758.683,7.927,,,Junction
4,616554.603,3097757.800,8.664,,,Junction
5,616554.133,3097756.917,9.401,,,Junction
6,616553.663,3097756.034,10.138,,,Junction
7,616553.193,3097755.152,10.874,,,Junction
8,616552.723,3097754.269,11.611,,,Junction
9,616552.253,3097753.386,12.348,,,Junction
10,616551.783,3097752.504,,,,Normal
11,616551.313,3097751.621,6.000,,,Normal
12,616550.843,3097750.738,5.995,,,Normal
13,616550.373,3097749.856,5.995,,,Normal
14,616549.903,3097748.973,5.995,,,Normal
15,616549.433,3097748.090,5.994,,,Normal
16,616548.963,3097747.208,5.994,,,Normal
17,616548.493,3097746.325,5.994,,,Normal
18,616548.023,3097745.442,5.994,,,Normal
19,616547.904,3097745.217,,,,Normal
