SN,Easting,Northing,Bed width,Bank slope,Bed elevation,Type
1,616073.135,3096615.242,2.050,,,Junction
2,616073.556,3096614.335,2.332,,,Junction
3,616073.977,3096613.428,2.614,,,Junction
4,616074.399,3096612.521,2.897,,,Junction
5,616074.820,3096611.614,3.179,,,Junction
6,616075.241,3096610.707,3.461,,,Junction
7,616075.663,3096609.800,3.898,,,Junction
8,616075.995,3096608.872,4.361,,,Junction
9,616076.032,3096607.872,4.606,,,Junction
10,616076.070,3096606.873,4.716,,,Junction
11,616076.108,3096605.874,4.825,,,Junction
12,616076.145,3096604.875,4.934,,,Junction
13,616076.183,3096603.875,5.043,,,Junction
14,616076.221,3096602.876,5.152,,,Junction
15,616076.258,3096601.877,5.261,,,Junction
16,616076.296,3096600.877,5.370,,,Junction
17,616076.334,3096599.878,5.480,,,Junction
18,616076.371,3096598.879,5.589,,,Junction
19,616076.409,3096597.880,5.698,,,Junction
20,616076.447,3096596.880,5.807,,,Junction
21,616076.484,3096595.881,5.916,,,Junction
22,616076.362,3096594.923,5.908,,,Normal
23,616075.840,3096594.071,5.159,,,Normal
24,616075.317,3096593.218,4.853,,,Normal
25,616074.795,3096592.365,4.613,,,Normal
26,616074.273,3096591.513,4.374,,,Normal
27,616073.750,3096590.660,4.134,,,Normal
28,616073.228,3096589.807,3.894,,,Normal
29,616072.705,3096588.955,3.657,,,Normal
30,616072.188,3096588.099,3.665,,,Junction
31,616071.764,3096587.193,3.522,,,Junction
32,616071.341,3096586.287,3.487,,,Junction
33,616070.918,3096585.381,3.554,,,Junction
34,616070.742,3096584.409,3.558,,,Junction
35,616070.654,3096583.413,3.341,,,Junction
36,616070.647,3096582.413,3.227,,,Junction
37,616070.641,3096581.413,3.200,,,Junction
38,616070.635,3096580.413,3.200,,,Junction
39,616070.629,3096579.413,3.200,,,Junction
40,616070.622,3096578.413,3.200,,,Junction
41,616070.616,3096577.413,3.200,,,Junction
42,616070.610,3096576.413,3.200,,,Junction
43,616070.604,3096575.413,3.200,,,Junction
44,616070.597,3096574.413,3.200,,,Junction
45,616070.591,3096573.413,3.200,,,Junction
46,616070.585,3096572.413,3.200,,,Junction
47,616070.582,3096571.989,3.200,,,Junction
