SN,Easting,Northing,Bed width,Bank slope,Bed elevation,Type
1,616065.730,3096621.868,10.206,,,Junction
2,616065.730,3096620.868,12.126,,,Junction
3,616065.730,3096619.868,13.644,,,Junction
4,616065.730,3096618.868,,,,Normal
5,616065.730,3096617.868,,,,Normal
6,616065.730,3096616.868,,,,Normal
7,616065.730,3096615.868,11.378,,,Normal
8,616065.730,3096614.868,20.426,,,Junction
9,616065.730,3096613.868,12.197,,,Normal
10,616065.730,3096612.868,12.810,,,Normal
11,616065.730,3096611.868,13.422,,,Normal
12,616065.730,3096610.868,14.035,,,Normal
13,616065.730,3096609.868,14.647,,,Normal
14,616065.730,3096608.868,15.000,,,Normal
15,616065.730,3096607.868,15.000,,,Normal
16,616065.730,3096606.868,15.000,,,Normal
17,616065.730,3096605.868,15.000,,,Normal
18,616065.730,3096604.868,15.000,,,Normal
19,616065.730,3096603.868,15.000,,,Normal
20,616065.730,3096602.868,15.000,,,Normal
21,616065.730,3096601.868,15.000,,,Normal
22,616065.730,3096600.868,15.000,,,Normal
23,616065.730,3096599.868,15.000,,,Normal
24,616065.730,3096598.868,15.000,,,Normal
25,616065.730,3096597.868,15.000,,,Normal
26,616065.730,3096596.868,15.000,,,Normal
27,616065.730,3096595.868,15.000,,,Normal
28,616065.730,3096594.868,14.576,,,Normal
29,616065.730,3096593.868,13.576,,,Normal
30,616065.730,3096592.868,12.576,,,Normal
31,616065.730,3096591.868,11.576,,,Normal
32,616065.730,3096590.868,10.576,,,Normal
33,616065.730,3096589.868,10.152,,,Junction
34,616065.730,3096588.868,9.092,,,Junction
35,616065.730,3096587.868,7.858,,,Junction
36,616065.730,3096586.868,6.821,,,Junction
37,616065.730,3096585.868,5.783,,,Junction
38,616065.730,3096584.868,5.005,,,Junction
39,616065.730,3096583.868,5.005,,,Junction
40,616065.730,3096582.868,5.000,,,Junction
41,616065.730,3096581.868,5.000,,,Junction
42,616065.730,3096580.868,5.000,,,Junction
43,616065.730,3096579.868,5.000,,,Junction
44,616065.730,3096578.868,5.000,,,Junction
45,616065.730,3096577.868,5.000,,,Junction
46,616065.730,3096576.868,5.000,,,Junction
47,616065.730,3096575.868,5.000,,,Junction
48,616065.730,3096574.868,5.000,,,Junction
49,616065.730,3096573.868,5.000,,,Junction
50,616065.730,3096572.868,5.000,,,Junction
51,616065.730,3096571.868,5.000,,,Normal
52,616065.730,3096570.868,5.000,,,Normal
53,616065.730,3096569.897,5.000,,,Normal
