SN,Easting,Northing,Bed width,Bank slope,Bed elevation,Type
1,616065.730,3096621.868,10.206,,,Junction
2,616066.682,3096621.562,12.126,,,Junction
3,616067.635,3096621.257,13.644,,,Junction
4,616068.587,3096620.951,,,,Normal
5,616069.539,3096620.646,,,,Normal
6,616070.491,3096620.340,,,,Normal
7,616071.443,3096620.035,,,,Normal
8,616072.396,3096619.729,,,,Normal
9,616073.348,3096619.424,6.489,,,Normal
10,616074.300,3096619.118,6.032,,,Normal
11,616075.252,3096618.813,6.391,,,Junction
12,616076.070,3096618.342,6.933,,,Normal
13,616076.561,3096617.471,5.310,,,Normal
14,616077.053,3096616.601,5.200,,,Junction
15,616077.545,3096615.730,5.125,,,Junction
16,616078.036,3096614.859,5.051,,,Junction
17,616078.528,3096613.988,4.976,,,Junction
18,616079.019,3096613.117,4.901,,,Junction
19,616079.511,3096612.246,4.826,,,Junction
20,616080.002,3096611.375,4.752,,,Junction
21,616080.494,3096610.505,4.850,,,Junction
22,616080.985,3096609.634,4.957,,,Junction
23,616081.408,3096608.742,5.265,,,Junction
24,616081.483,3096607.745,5.130,,,Junction
25,616081.557,3096606.748,5.021,,,Junction
26,616081.632,3096605.750,4.912,,,Junction
27,616081.706,3096604.753,4.802,,,Junction
28,616081.780,3096603.756,4.693,,,Junction
29,616081.855,3096602.759,4.584,,,Junction
30,616081.929,3096601.762,4.475,,,Junction
31,616082.004,3096600.764,4.366,,,Junction
32,616082.078,3096599.767,4.257,,,Junction
33,616082.153,3096598.770,4.148,,,Junction
34,616082.227,3096597.773,4.038,,,Junction
35,616082.302,3096596.775,3.929,,,Junction
36,616082.376,3096595.778,3.820,,,Junction
37,616082.401,3096595.437,,,,Junction
